X,Y,Z,formation
426166.0771,5883424.4464,-413.0659,02_Marchlyn_Fm
426167.8117,5883423.2764,-437.9781,02_Marchlyn_Fm
426169.5464,5883422.1063,-462.8904,02_Marchlyn_Fm
426171.2810,5883420.9363,-487.8027,02_Marchlyn_Fm
426173.0157,5883419.7662,-512.7150,02_Marchlyn_Fm
426174.7504,5883418.5962,-537.6273,02_Marchlyn_Fm
426176.4850,5883417.4261,-562.5396,02_Marchlyn_Fm
426178.2197,5883416.2561,-587.4519,02_Marchlyn_Fm
426179.0934,5883415.6667,-600.0000,02_Marchlyn_Fm
423337.3081,5885332.4752,284.0768,02_Marchlyn_Fm
423356.1899,5885319.7392,273.7681,02_Marchlyn_Fm
423375.0718,5885307.0032,263.4593,02_Marchlyn_Fm
423393.9536,5885294.2673,253.1505,02_Marchlyn_Fm
423412.8355,5885281.5313,242.8417,02_Marchlyn_Fm
423431.7977,5885268.7411,232.7524,02_Marchlyn_Fm
423450.8337,5885255.9012,222.8647,02_Marchlyn_Fm
423469.8696,5885243.0613,212.9769,02_Marchlyn_Fm
423488.9973,5885230.1595,203.3588,02_Marchlyn_Fm
423508.3056,5885217.1359,194.2717,02_Marchlyn_Fm
423527.6509,5885204.0873,185.3065,02_Marchlyn_Fm
423547.2566,5885190.8631,177.1985,02_Marchlyn_Fm
423567.0136,5885177.5368,169.6677,02_Marchlyn_Fm
423586.9461,5885164.0922,162.8353,02_Marchlyn_Fm
423607.2463,5885150.3995,157.7943,02_Marchlyn_Fm
423627.6470,5885136.6391,153.4190,02_Marchlyn_Fm
423648.1180,5885122.8313,149.5098,02_Marchlyn_Fm
423668.7145,5885108.9387,146.8402,02_Marchlyn_Fm
423689.3637,5885095.0106,144.6914,02_Marchlyn_Fm
423710.0000,5885081.0913,145.9206,02_Marchlyn_Fm
423730.6320,5885067.1748,148.2986,02_Marchlyn_Fm
423750.1839,5885053.9869,156.3951,02_Marchlyn_Fm
423769.1496,5885041.1944,166.2436,02_Marchlyn_Fm
423786.8669,5885029.2439,179.2158,02_Marchlyn_Fm
423803.3975,5885018.0939,194.1714,02_Marchlyn_Fm
423819.1847,5885007.4453,210.3693,02_Marchlyn_Fm
423832.5059,5884998.4600,229.4891,02_Marchlyn_Fm
423845.6508,5884989.5937,248.8179,02_Marchlyn_Fm
423856.4988,5884982.2766,270.0973,02_Marchlyn_Fm
423867.1538,5884975.0897,291.5408,02_Marchlyn_Fm
423876.3005,5884968.9202,313.9485,02_Marchlyn_Fm
423885.0320,5884963.0307,336.6217,02_Marchlyn_Fm
423891.9616,5884958.3566,360.1538,02_Marchlyn_Fm
423897.5794,5884954.5674,384.1757,02_Marchlyn_Fm
423901.6771,5884951.8035,408.6822,02_Marchlyn_Fm
423903.9694,5884950.2573,433.5279,02_Marchlyn_Fm
423905.2988,5884949.3606,458.4619,02_Marchlyn_Fm
423905.4398,5884949.2655,483.4380,02_Marchlyn_Fm
423904.2311,5884950.0808,508.3872,02_Marchlyn_Fm
423901.1173,5884952.1810,533.1035,02_Marchlyn_Fm
423895.3632,5884956.0622,557.0406,02_Marchlyn_Fm
423888.6664,5884960.5793,580.6996,02_Marchlyn_Fm
423880.3784,5884966.1696,603.6126,02_Marchlyn_Fm
423872.3777,5884971.5662,626.6506,02_Marchlyn_Fm
423866.5670,5884975.4855,650.6480,02_Marchlyn_Fm
423862.8293,5884978.0066,675.1007,02_Marchlyn_Fm
423862.4206,5884978.2823,700.0313,02_Marchlyn_Fm
423866.7265,5884975.3780,724.0031,02_Marchlyn_Fm
423881.8462,5884965.1796,738.0967,02_Marchlyn_Fm
423902.1700,5884951.4710,739.2260,02_Marchlyn_Fm
423922.6888,5884937.6309,735.8633,02_Marchlyn_Fm
423943.0330,5884923.9086,731.0871,02_Marchlyn_Fm
423963.1172,5884910.3616,724.9456,02_Marchlyn_Fm
423983.1500,5884896.8493,718.5346,02_Marchlyn_Fm
424003.1829,5884883.3369,712.1236,02_Marchlyn_Fm
424022.8420,5884870.0767,704.2167,02_Marchlyn_Fm
424042.4751,5884856.8340,696.2061,02_Marchlyn_Fm
424062.1083,5884843.5912,688.1956,02_Marchlyn_Fm
424081.7415,5884830.3485,680.1851,02_Marchlyn_Fm
424101.3037,5884817.1536,671.9338,02_Marchlyn_Fm
424120.7239,5884804.0545,663.2005,02_Marchlyn_Fm
424140.1441,5884790.9554,654.4673,02_Marchlyn_Fm
424159.5643,5884777.8563,645.7340,02_Marchlyn_Fm
424178.9845,5884764.7573,637.0008,02_Marchlyn_Fm
424198.4047,5884751.6582,628.2675,02_Marchlyn_Fm
424213.4129,5884741.5350,621.5184,02_Marchlyn_Fm
423286.7612,5885366.5695,125.3334,03_Bronllwyd_Grit_Fm
423305.8355,5885353.7037,115.5536,03_Bronllwyd_Grit_Fm
423324.9241,5885340.8283,105.8176,03_Bronllwyd_Grit_Fm
423344.3945,5885327.6953,97.2486,03_Bronllwyd_Grit_Fm
423363.8649,5885314.5624,88.6795,03_Bronllwyd_Grit_Fm
423383.3353,5885301.4294,80.1105,03_Bronllwyd_Grit_Fm
423402.8057,5885288.2965,71.5414,03_Bronllwyd_Grit_Fm
423422.2761,5885275.1635,62.9723,03_Bronllwyd_Grit_Fm
423442.4576,5885261.5509,57.3059,03_Bronllwyd_Grit_Fm
423462.6621,5885247.9228,51.7332,03_Bronllwyd_Grit_Fm
423482.8665,5885234.2947,46.1605,03_Bronllwyd_Grit_Fm
423503.3143,5885220.5025,42.1289,03_Bronllwyd_Grit_Fm
423523.8025,5885206.6831,38.3527,03_Bronllwyd_Grit_Fm
423544.2906,5885192.8637,34.5765,03_Bronllwyd_Grit_Fm
423564.7788,5885179.0442,30.8003,03_Bronllwyd_Grit_Fm
423585.2947,5885165.2061,27.2551,03_Bronllwyd_Grit_Fm
423605.8284,5885151.3559,23.8586,03_Bronllwyd_Grit_Fm
423626.3622,5885137.5057,20.4621,03_Bronllwyd_Grit_Fm
423646.9056,5885123.6490,17.1584,03_Bronllwyd_Grit_Fm
423667.5021,5885109.7565,14.3696,03_Bronllwyd_Grit_Fm
423688.0987,5885095.8639,11.5808,03_Bronllwyd_Grit_Fm
423708.6680,5885081.9897,8.5253,03_Bronllwyd_Grit_Fm
423729.2089,5885068.1347,5.1921,03_Bronllwyd_Grit_Fm
423749.7498,5885054.2797,1.8589,03_Bronllwyd_Grit_Fm
423770.2907,5885040.4247,-1.4743,03_Bronllwyd_Grit_Fm
423790.8895,5885026.5306,-4.2320,03_Bronllwyd_Grit_Fm
423811.4951,5885012.6320,-6.9220,03_Bronllwyd_Grit_Fm
423832.1007,5884998.7333,-9.6120,03_Bronllwyd_Grit_Fm
423852.6784,5884984.8535,-10.2318,03_Bronllwyd_Grit_Fm
423873.2005,5884971.0111,-6.7344,03_Bronllwyd_Grit_Fm
423893.7227,5884957.1688,-3.2370,03_Bronllwyd_Grit_Fm
423911.0606,5884945.4742,8.7032,03_Bronllwyd_Grit_Fm
423924.3894,5884936.4838,27.3486,03_Bronllwyd_Grit_Fm
423934.0523,5884929.9661,49.4431,03_Bronllwyd_Grit_Fm
423941.9859,5884924.6148,72.5390,03_Bronllwyd_Grit_Fm
423947.2501,5884921.0641,96.6884,03_Bronllwyd_Grit_Fm
423951.1203,5884918.4536,121.2161,03_Bronllwyd_Grit_Fm
423954.3568,5884916.2705,145.8575,03_Bronllwyd_Grit_Fm
423961.9375,5884911.1573,169.1252,03_Bronllwyd_Grit_Fm
423975.9247,5884901.7228,187.1337,03_Bronllwyd_Grit_Fm
423993.8566,5884889.6276,199.4164,03_Bronllwyd_Grit_Fm
424013.5253,5884876.3609,207.0283,03_Bronllwyd_Grit_Fm
424033.9797,5884862.5642,210.0817,03_Bronllwyd_Grit_Fm
424054.6829,5884848.5997,211.2510,03_Bronllwyd_Grit_Fm
424075.3131,5884834.6845,209.9892,03_Bronllwyd_Grit_Fm
424095.8919,5884820.8039,207.0150,03_Bronllwyd_Grit_Fm
424116.4314,5884806.9499,203.7583,03_Bronllwyd_Grit_Fm
424136.6898,5884793.2854,198.4781,03_Bronllwyd_Grit_Fm
424156.9482,5884779.6209,193.1980,03_Bronllwyd_Grit_Fm
424176.8810,5884766.1761,186.4650,03_Bronllwyd_Grit_Fm
424196.5862,5884752.8848,178.7159,03_Bronllwyd_Grit_Fm
424216.0657,5884739.7456,170.2341,03_Bronllwyd_Grit_Fm
424235.1877,5884726.8477,160.5907,03_Bronllwyd_Grit_Fm
424254.3096,5884713.9498,150.9472,03_Bronllwyd_Grit_Fm
424273.2558,5884701.1705,140.8290,03_Bronllwyd_Grit_Fm
424291.9731,5884688.5455,130.0926,03_Bronllwyd_Grit_Fm
424310.6904,5884675.9205,119.3562,03_Bronllwyd_Grit_Fm
424329.4078,5884663.2955,108.6197,03_Bronllwyd_Grit_Fm
424344.4941,5884653.1196,99.9661,03_Bronllwyd_Grit_Fm
423343.9973,5884106.8140,1082.3541,01_Nant_Ffrancon_Fm
423364.2136,5884093.1779,1076.8444,01_Nant_Ffrancon_Fm
423384.4300,5884079.5418,1071.3347,01_Nant_Ffrancon_Fm
423404.6463,5884065.9058,1065.8250,01_Nant_Ffrancon_Fm
423424.8626,5884052.2697,1060.3153,01_Nant_Ffrancon_Fm
423445.0790,5884038.6336,1054.8057,01_Nant_Ffrancon_Fm
423465.2953,5884024.9975,1049.2960,01_Nant_Ffrancon_Fm
423485.5117,5884011.3614,1043.7863,01_Nant_Ffrancon_Fm
423505.7280,5883997.7253,1038.2766,01_Nant_Ffrancon_Fm
423526.0610,5883984.0105,1033.4317,01_Nant_Ffrancon_Fm
423546.3940,5883970.2957,1028.5869,01_Nant_Ffrancon_Fm
423566.7271,5883956.5809,1023.7420,01_Nant_Ffrancon_Fm
423587.0601,5883942.8661,1018.8973,01_Nant_Ffrancon_Fm
423607.4529,5883929.1110,1014.4332,01_Nant_Ffrancon_Fm
423627.8458,5883915.3558,1009.9691,01_Nant_Ffrancon_Fm
423648.2386,5883901.6007,1005.5050,01_Nant_Ffrancon_Fm
423668.6316,5883887.8454,1001.0423,01_Nant_Ffrancon_Fm
423689.1714,5883873.9911,997.6992,01_Nant_Ffrancon_Fm
423709.7112,5883860.1369,994.3562,01_Nant_Ffrancon_Fm
423730.2510,5883846.2826,991.0131,01_Nant_Ffrancon_Fm
423750.7910,5883832.4282,987.6729,01_Nant_Ffrancon_Fm
423771.4933,5883818.4643,986.4779,01_Nant_Ffrancon_Fm
423792.1955,5883804.5005,985.2830,01_Nant_Ffrancon_Fm
423812.8978,5883790.5367,984.0881,01_Nant_Ffrancon_Fm
423833.6001,5883776.5728,982.8953,01_Nant_Ffrancon_Fm
423854.3219,5883762.5957,983.3938,01_Nant_Ffrancon_Fm
423875.0437,5883748.6187,983.8923,01_Nant_Ffrancon_Fm
423895.7655,5883734.6417,984.3907,01_Nant_Ffrancon_Fm
423916.4872,5883720.6647,984.8925,01_Nant_Ffrancon_Fm
423937.1367,5883706.7365,987.0378,01_Nant_Ffrancon_Fm
423957.7862,5883692.8082,989.1831,01_Nant_Ffrancon_Fm
423978.4357,5883678.8799,991.3284,01_Nant_Ffrancon_Fm
423999.0841,5883664.9524,993.4822,01_Nant_Ffrancon_Fm
424019.3319,5883651.2951,998.8208,01_Nant_Ffrancon_Fm
